先生はジョンを叱った。|せんせいはジョンをしかった。
ー疲れたね。<br>ーそれどころじゃないよ。死にそうなんだよ。|ーつかれたね。<br/>ーそれどころじゃないよ。しにそうなんだよ。
あの人が若くはありませんよ。それどころか、お孫さんが三人もいるんですよ。|あのひとがわかくはありませんよ。それどころか、おまごさんがさんにんもいるんですよ。
お金は一銭もありません。それどころか、借金で苦しんでいるんです。|おかねはいっせんもありません。それどころか、しゃっきんでくるしんでいるんです。
ジムは日本語の会話が出来ない。それどころか、簡単なあいさつも日本語で出来ない。|ジムはにほんごのかいわができない。それどころか、かんたんなあいさつもにほんごでできない。
ー風邪を引いたんだって？<br>ーそれどころか、肺炎になって、入院していたんだ。|ーかぜをひいたんだって<br/>ーそれどころか、はいえんになって、にゅういんしていたんだ。
ー映画を見に行こうか？<br>ーそれどころじゃないよ。今晩は徹夜しなければならないほど忙しいんだ。|ーえいがをみにいこうか<br/>ーそれどころじゃないよ。こんばんはてつやしなければならないほどいそがしいんだ。
ー和子、手伝ってくれる？<br />ーそれどころじゃないのよ、今宿題で忙しくて。|ーかずこ、てつだってくれる<br/>ーそれどころじゃないのよ、こんしゅくだいでいそがしくて。
クラークさんは刺身が食べられる。それどころか納豆まで食べられる。|クラークさんはさしみがたべられる。それどころかなっとうまでたべられる。
ー奨学金はもらえそうですか。<br>ーいえ、それが難しそうなんです。|ーしょうがくきんはもらえそうですか。<br/>ーいえ、それがむずかしそうなんです。
ー試験、どうだった。<br />ーそれが、だめだったんだ。|ーしけん、どうだった。<br/>ーそれが、だめだったんだ。
ー来年は日本で働くんですね。<br>ーいや、それが行けなくなってしまったんです。|ーらいねんはにほんではたらくんですね。<br/>ーいや、それがいけなくなってしまったんです。
ー彼女に会って話したんだろう。<br>ーそれが、会ったことは会ったんだけど、顔を見たら何も言えなくなってしまって。|ーかのじょにあってはなしたんだろう。<br/>ーそれが、あったことはあったんだけど、かおをみたらなにもいえなくなってしまって。
ー試験、だめだったんだろう。<br />ーいや、それが、通ったんだよ。|ーしけん、だめだったんだろう。<br/>ーいや、それが、とおったんだよ。
ー彼女に会いたいでしょう。<br>ーそれは、会いたいですよ。|ーかのじょにあいたいでしょう。<br/>ーそれは、あいたいですよ。
英語で、それも早口で話されたので全然分からなかった。|えいごで、それもはやくちではなされたのでぜんぜんわからなかった。
彼女は銀座の、それも一流の店でばかり買い物をする。|かのじょはぎんざの、それもいちりゅうのみせでばかりいかいものをする。
子供が五人もいて、それもいたずら盛りの男の子ばかりなので、野口さんの奥さんは毎日大変忙しいです。|こどもがごにんもいて、それもいたずらざかりののおとこのこばかりなので、のぐちさんのおくさんはまいにちたいへんいそがしいです。
日本語で、それもくずし字で書いてある。|にほんごで、それもくずしじでかいてある。
ダイヤの、それも二カラットのダイヤの指輪だ。|ダイヤの、それもにカラットのダイヤのゆびわだ。
新築で、それも駅から五分という便利な所にある。|しんちくで、それもえきからふんというべんりなところにある。
彼はその場で、それも現金で払ってくれた。|かれはそのばで、それもげんきんではらってくれた。
真冬に、それもはだしで走った。|まふゆに、それもはだしではしった。
その銀行は都心の、それも東京駅前の一当地に本社ビルを建てた。|そのぎんこうはとしんの、それもとうきょうえきまえのいっとうちにほんしゃビルをたてた。
彼女は雑誌記者、それもゴシップ雑誌の記者に見つかってしまった。|かのじょはざっしきしゃ、それもゴシップざっしのきしゃにみつかってしまった。
忙しい学期末に、それも論文の締め切り直前に手紙を訳してくれと頼まれた。|いそがしいがっきまつに、それもろんぶんのめしめきりちょくぜんにてがみをやくしてくれとたのまれた。
硬貨で十万円、それも十円玉ばかりだったからとても重かった。|こうかでじゅうまんえん、それもじゅうえんだまばかりだったからとてもおもかった。
ここのモーニングセットはコーヒーにトースト、それにゆでたまごが付いている。|ここのモーニングセットはコーヒーにトースト、それにゆでたまごがついている。
車を買っても置く所がないし、それにあまり乗る機会もない。|くるまをかってもおくところがないし、それにあまりのるきかいもない。
私は家では仕事の話はしないことにしているんです。それに、今晩はとても疲れているので、その話は明日にしてもらえませんか。|わたしはいえではしごとのはなしはしないことにしているんです。それに、こんばんはとてもつかれているので、そのはなしはあすにしてもらえませんか。
私のうちには私達夫婦と子供が二人、それにネコとイヌが一匹ずついる。|わたしのうちにはわたしたちふうふとこどもがふたり、それにネコとイヌがいっぴきずついる。
いい仕事がないし、それに子供も日本の学校へ行きたがっているので、日本へ帰ろうと思っている。|いいしごとがないし、それにこどももにほんのがっこうへいきたがっているので、にほんへかえろうとおもっている。
ピアノなんか買っても誰も弾く者はないし、それにうちは狭いので置く所がありません。|ピアノなんかかってもだれもひくものはないし、それにうちはせまいのでおくところがありません。
このアパートは明るくて清潔だ。それに家賃が安い。|このアパートはあかるくてせいけつだ。それにやちんがやすい。
昔と違って今は相手がどこにいても電話で簡単に話が出来る。それに、テレビ電話を使うと相手の顔を見ながら話すことも出来る。|むかしとちがっていまはあいてがどこにいてもでんわでかんたんにはなしができる。それに、テレビでんわをつかうとあいてのかおをみながらはなすこともできる。
彼女は結婚していて、それに子供もある。|かのじょはけっこんしていて、それにこどももある。
とうふは安くて、それに栄養がある。|とうふはやすくて、それにえいようがある。
このアパートは不便で、それに家賃が高い。|このアパートはふべんで、それにやちんがたかい。
私は近視で、それに乱視も少し入っている。|わたしはきんしで、それにらんしもすこしはいっている。
彼は大学で日本語を三年間勉強し、それに日本で仕事をしたこともある。|かれはだいがくでにほんごをさんねんかんべんきょうし、それににほんでしごとをしたこともある。
彼の書く小説はストーリーが面白く、それに読みやすい。|かれのかくしょうせつはストーリーがおもしろく、それによみやすい。
ここのモーニングセットはコーヒーにトースト、おまけにゆでたまごまで付いている。|ここのモーニングセットはコーヒーにトースト、おまけにゆでたまごまでついている。
リンゴ三つとオレンジ二つ、それと、バナナを三本下さい。|リンゴみっつとオレンジふたつ、それと、バナナをさんぽんください。
スポーツはテニスとゴルフをします。それと、学生時代をアイスホッケーをしていました。|スポーツはテニスとゴルフをします。それと、がくせいじだいをアイスホッケーをしていました。
音楽はコーラスをしています。それと、学生の頃フルートを少しやりました。|おんがくはコーラスをしています。それと、がくせいのころフルートをすこしやりました。
山田さん、木下さん、上野さん、それと、高橋さんもお見えになります。|やまださん、きのしたさん、うえのさん、それと、たかはしさんもおみえになります。
外国語はドイツ語にフランス語、それと、日本語が少し話せます。|がいこくごはドイツごにフランスふらんすご、それと、にほんごがすこしはなせます。
留守中に山村さんと浜田さんからお電話がありました。それと、吉田さんからお手紙が来ております。|るすちゅうにやまむらさんとはまださんからおでんわがありました。それと、よしださんからおてがみがきております。
緊急の問題は先生をどうするかということです。それと、もう一つ、教室の問題も考えなければなりません。|きんきゅうのもんだいはせんせいをどうするかということです。それと、もうひとつ、きょうしつのもんだいもかんがえなければなりません。
この手紙を昼までにタイプしておいてくれる？あ、それと、昨日頼んでおいた飛行機の切符、取れた？|このてがみをひるまでにタイプしておいてくれるあ、それと、きのうたのんでおいたひこうきのきっぷ、とれた
リンゴ三つとオレンジ二つ。あ、それと、バナナも三本下さい。|リンゴみっつとオレンジふたつ。あ、それと、バナナもさんぽんください。
ー勝ちたいでしょうね。<br>ーええ、それは勝ちたいですよ。|ーかちたいでしょうね。<br/>ーええ、それはかちたいですよ。
ー国へ帰りたいと思うことがありますか。<br>ーそれはありますよ。|ーこくへかえりたいとおもうことがありますか。<br/>ーそれはありますよ。
ーこの値段だったらみんな買うでしょうか。<br>ーそれは買いますよ。そんな値段では絶対買えませんから。|ーこのねだんだったらみんなかうでしょうか。<br/>ーそれはかいますよ。そんなねだんではぜったいかえませんから。
ーもっと給料が高い方がいいでしょう？<br>ーそりゃ（あ）そうですが・・・|ーもっときゅうりょうがたかいほうがいいでしょう<br/>ーそりゃあそうですが・・・
ー彼女は僕が嫌いになったのかなあ。<br />ーそれは違うよ。|ーかのじょはぼくがきらいになったのかなあ。<br/>ーそれはちがうよ。
[When giving a gift,]<br>ーこれ、つまらないものですが。<br>ーそれはご丁寧に。|ーこれ、つまらないものですが。<br/>ーそれはごていねいに。
山田さんと鈴木さんは、果物とお菓子をそれぞれ買った。|やまださんとすずきさんは、くだものとおかしをそれぞれかった。
読んだ小説はそれぞれ面白かった。|よんだしょうせつはそれぞれおもしろかった。
好子、美保子、信夫はそれぞれ十五歳、十三歳、九歳です。|よしこ、みほこ、しのぶはそれぞれじゅうごさい、じゅうさんさい、きゅうさいです。
父は私と妹に、それぞれ、一万円のお小遣いをくれた。|ちちはわたしといもうとに、それぞれ、いちまんえんのおこづかいをくれた。
トムは寮の部屋で、僕は図書館で、それぞれ勉強する。|トムはりょうのへやで、ぼくはとしょかんで、それぞれべんきょうする。
ボブはベスト、一雄はジェミート、それぞれ出かけた。|ボブはベスト、かずおはジェミート、それぞれでかけた。
私達は兄弟だが、趣味がそれぞれ違う。|わたしたちはきょうだいだが、しゅみがそれぞれちがう。
誰でもそれぞれ長所と短所がある。|だれでもそれぞれちょうしょとたんしょがある。
このキャンパスの建物はそれぞれ個性がある。|このキャンパスのたてものはそれぞれこせいがある。
レストランではそれぞれ好きな物を食べました。|レストランではそれぞれすきなものをたべました。
裁判官はそれぞれの席に着いた。|さいばんかんはそれぞれのせきについた。
山田さんは果物を買って、鈴木さんはお菓子を買った。|やまださんはくだものをかって、すずきさんはおかしをかった。
山田さんは果物を、鈴木さんをお菓子を買った。|やまださんはくだものを、すずきさんをおかしをかった。
山田さんは果物を、鈴木さんはお菓子を、それぞれ買った。|やまださんはくだものを、すずきさんはおかしを、それぞれかった。
オーケストラはそれぞれの音色を持っている。|オーケストラはそれぞれのねいろをもっている。
学生はそれぞれの自転車で登校する。|がくせいはそれぞれのじてんしゃでとうこうする。
宇宙の星はそれぞれが引力で引き合っている。|うちゅうのほしはそれぞれがいんりょくできひきあっている。
このワインの中にはフランス産とドイツ産が混じっています。匂いをかいだだけで、それぞれを言い当てることが出来ますか。|このワインのなかにはフランスさんとドイツさんがまじっています。においをかいだだけで、それぞれをいいいあてることができますか。
家に帰ったらすぐ、寝てしまいました。|いえにかえったらすぐ、ねてしまいました。
銀行は駅のすぐ前です。|ぎんこうはえきのすぐまえです。
部長は会社に着くとすぐ、仕事を始めた。|ぶちょうはかいしゃにつくとすぐ、しごとをはじめた。
日本に来たらすぐ、電話して下さい。|にほんにきたらすぐ、でんわしてください。
話したいから、すぐ来て下さい。|はなしたいから、すぐきてください。
安いテレビを買ったらすぐ、壊れてしまいました。|やすいテレビをかったらすぐ、こわれてしまいました。
あの人はすぐ怒るから、嫌いだ。|あのひとはすぐおこるから、きらいだ。
その数学の問題はすぐ解けた。|そのすうがくのもんだいはすぐとけた。
私の家はすぐそこです。|わたしのいえはすぐそこです。
郵便局はスーパーのすぐ隣です。|ゆうびんきょくはスーパーのすぐとなりです。
そのエビを食べたら、すぐおなかが痛くなった。|そのエビをたべたら、すぐおなかがいたくなった。
スミスさんは電話したから、もうすぐ来るよ。|スミスさんはでんわしたから、もうすぐくるよ。
日本へ行くたびに新しいことを学んで帰ります。|にほんへいくたびにあたらしいことをまなんでかえります。
父は旅行のたびにおみやげを買ってきてくれる。|ちちはりょこうのたびにおみやげをかってきてくれる。
あの人と話すたびに心が和みます。|あのひととはなすたびにこころがなごみます。
この本は読むたびに新しい発見がある。|このほんはよむたびにあたらしいはっけんがある。
僕は東京に行くたびに恩師のお宅を訪ねることにしている。|ぼくはとうきょうにいくたびにおんしのおたくをたずねることにしている。
私の孫は会うたびに前より大きくなっている。|わたしのまごはあうたびにまえよりおおきくなっている。
モーツァルトの音楽を聞くたびに人生が豊かになった気がする。|モーツァルトのおんがくをきくたびにじんせいがゆたかになったきがする。
誕生日のたびに夫はバラの花を買ってくれます。|たんじょうびのたびにおっとはバラのはなをかってくれます。
うちでは給料日のたびに銀座のレストランで食事をします。|うちではきゅうりょうびのたびにぎんざのレストランでしょくじをします。
モーツァルトの音楽を聞く時にはいつでも人生が豊かになった気がする。|モーツァルトのおんがくをきくときにはいつでもじんせいがゆたかになったきがする。
モーツァルトの音楽を聞いた時にはいつでも人生が豊かになった気がする。|モーツァルトのおんがくをきいたときにはいつでもじんせいがゆたかになったきがする。
彼のただ一つの欠点は時間にルーズだということだ。|かれのただひとつのけってんはじかんにルーズだということだ。
彼女はただの一度も手紙をくれなかった。|かのじょはただのいちどもてがみをくれなかった。
彼はただ弁護士だけが頼りだ。|かれはただべんごしだけがたよりだ。
彼女はただお茶を飲んで話をしたというだけだ。|かのじょはただおちゃをのんではなしをしたというだけだ。
彼はただ一人でやってきた。|かれはただひとりでやってきた。
私達が困っていた時、助けてくれた者はただの一人もいなかった。|わたしたちがこまっていたとき、たすけてくれたものはただのひとりもいなかった。
それだけのことで彼を首にしたんですか。|それだけのことでかれをくびにしたんですか。
ただ言われたことだけをやっていても進歩はない。|ただいわれたことだけをやっていてもしんぽはない。
私はただ頼まれたことをしているだけだ。|わたしはただたのまれたことをしているだけだ。
あの男はただまじめだというだけだ。|あのおとこはただまじめだというだけだ。
別に大した意味はないんですが、ただちょっと聞いてみたかったんです。|べつにたいしたいみはないんですが、ただちょっときいてみたかったんです。
ただ人の言うことを鵜呑みにしていては面白い発想は生まれない。|ただひとのいうことをうのみにしていてはおもしろいはっそうはうまれない。
彼の一つの欠点は時間にルーズだということだ。|かれのひとつのけってんはじかんにルーズだということだ。
私はこの夏たった二日しか休まなかった。|わたしはこのなつたったふつかしかやすまなかった。
ジョンはたった今帰ったばかりです。|ジョンはたったいまかえったばかりです。
私はただの平社員ですから、そんなことは知りません。|わたしはただのひらしゃいんですから、そんなことはしりません。
ただの風邪だと思っていたら、肺炎だった。|ただのかぜだとおもっていたら、はいえんだった。
あの人はただの学者ではないようですね。|あのひとはただのがくしゃではないようですね。
ただの集まりだと思って、顔を出したら、偉い人達が出席していたのでびっくりした。|ただのあつまりだとおもって、かおをだしたら、えらいひとたちがしゅっせきしていたのでびっくりした。
ーお父様はお偉い方だったそうですね。<br />ーいいえ、とんでもありません。ただの大学教師でした。|ーおとうさまはおえらいかただったそうですね。<br/>ーいいえ、とんでもありません。ただのだいがくきょうしでした。
ただの冗談ですよ。|ただのじょうだんですよ。
この車は確かに魅力的だが、値段が高すぎる。|このくるまはたしかにみりょくてきだが、ねだんがたかすぎる。
そのパーティーのことは確かに聞いたが、いつだったか思い出せない。|そのパーティーのことはたしかにきいたが、いつだったかいおもいだせない。
確かに約束はしたが、今すぐとは言わなかった。|たしかにやくそくはしたが、いますぐとはいわなかった。
彼は確かに第一印象がよくないが、本当はいい男なんだよ。|かれはたしかにだいいちいんしょうがよくないが、ほんとうはいいおとこなんだよ。
この学校は確かにいい学校だが、僕には向いていない。|このがっこうはたしかにいいがっこうだが、ぼくにはむいていない。
確かに多くの日本人が海外へ出かけるようになった。外国語を上手に話す人もたくさんいる。しかし、本当の国際人と呼べる人はまだ少ない。|たしかにおおくのにほんじんがかいがいへでかけるようになった。がいこくごをじょうずにはなすひともたくさんいる。しかし、ほんとうのこくさいじんとよべるひとはまだすくない。
どんなに低く見積もったところで、工費は五億円を超えるだろう。|どんなにひくくみつもったところで、こうひはごおくえんをこえるだろう。
この薬を飲んだところで、風邪がすぐ治るわけじゃない。|このくすりをのんだところで、かぜがすぐなおるわけじゃない。
この本を読んだところで、日本の経済の全体は分からないだろう。|このほんをよんだところで、にほんのけいざいのぜんたいはわからないだろう。
一週間に一度ぐらい運動したところで、あまり効果はないでしょう。|いっしゅうかんにいちどぐらいうんどうしたところで、あまりこうかはないでしょう。
どんなに頑張ったところで、この科目では優が取れるはずがない。|どんなにがんばったところで、このかもくではゆうがとれるはずがない。
休みに天気が良くなったところで、どこかへ出かけるあてもない。|やすみにてんきがよくなったところで、どこかへでかけるあてもない。
日本語が話せたところで、日本へ行く金もないので、何にもならない。|にほんごがはなせたところで、にほんへいくかねもないので、なににもならない。
これ以上話し合ったところで、恐らく無駄でしょう。|これいじょうしはなしあったところで、おそらくむだでしょう。
問題は起こったところで、君には迷惑はかからない。|もんだいはおこったところで、きみにはめいわくはかからない。
主人は私が何度注意してもたばこをやめない。|しゅじんはわたしがなんどちゅういしてもたばこをやめない。
僕は何を食べても太っちゃうんです。|ぼくはなにをたべてもふとっちゃうんです。
この科目を取らなくても卒業は出来る。|このかもくをとらなくてもそつぎょうはできる。
鉛筆で書いてもいいですか。|えんぴつでかいてもいいですか。
ちょっと読んでもつまらない本だとすぐ分かる。|ちょっとよんでもつまらないほんだとすぐわかる。
こちらにいらっしゃってもう何年になりますか。|こちらにいらっしゃってもうなんねんになりますか。
二人は結婚して二年後に離婚した。|ふたりはけっこんしてにねんごにりこんした。
会社を辞めてもう久しい。|かいしゃをやめてもうひさしい。
この島を訪れてもう何年になるだろうか。|このしまをおとずれてもうなんねんになるだろうか。
この会社で働き始めてこれで四年になります。|このかいしゃではたらきはじめてこれでよねんになります。
この町に来てまだ一週間目です。|このまちにきてまだいっしゅうかんめです。
二人は結婚する二年前にお見合いをした。|ふたりはけっこんするにねんまえにおみあいをした。
アメリカへ来て始めて竜巻を見た。|アメリカへきてはじめてたつまきをみた。
日本で生活して始めて日本人のものの考え方が分かってきた。|にほんでせいかつしてはじめてにほんじんのもののえかんがえかたがわかってきた。
日本語を勉強して初めて外国語を学ぶ面白さを知った。|にほんごをべんきょうしてはじめてがいこくごをまなぶおもしろさをしった。
考えは文字にしてみて初めてはっきりすることが多い。|かんがえはもじにしてみてはじめてはっきりすることがおおい。
病気になって初めて健康の有り難さが分かる。|びょうきになってはじめてけんこうのりありがたさがわかる。
生まれて初めてさしみを食べた。|うまれてはじめてさしみをたべた。
[Before, while or just after eating sashimi]<br />さしみは生まれて初めてです。|さしみはうまれてはじめてです。
彼はそういう点でまだ大人とは言えない。|かれはそういうてんでまだおとなとはいえない。
使いやすさの点ではこの辞書はネルソンの漢英辞典に及ばない。|つかいやすさのてんではこのじしょはネルソンのかんえいじてんにおよばない。
通勤の便利さという点では今のアパートは最高だ。|つうきんのべんりさというてんではいまのアパートはさいこうだ。
このテーブルは手作りである点で値打ちがある。|このテーブルはてづくりであるてんでねうちがある。
我が社の製品はすべての点で国外の類似製品より優れている。|わがしゃのせいひんはすべてのてんでこくがいのるいじせいひんよりすぐれている。
学力の点ではこの学生が一番だろう。|がくりょくのてんではこのがくせいがいちばんだろう。
住みやすさの点では私はこの町の方が前に住んだ町より気に入っている。|すみやすさのてんではわたしはこのまちのほうがまえにすんだまちよりにきにいっている。
時間の正確さという点では日本の鉄道は世界一でしょう。|じかんのせいかくさというてんではにほんのてつどうはせかいいちでしょう。
イルカは言葉を話すという点で他の多くの水棲動物より高等であると言える。|イルカはことばをはなすというてんでたのおおくのすいせいどうぶつよりこうとうであるといえる。
彼女と私はクラシック音楽が好きだという点で趣味が一致している。|かのじょとわたしはクラシックおんがくがすきだというてんでしゅみがいっちしている。
スミス氏は時代を先取り出来るという点で社長に適任だ。|スミスしはじだいをさきどりできるというてんでしゃちょうにてきにんだ。
彼女のそういう点が人に嫌われるのだ。|かのじょのそういうてんがひとにきらわれるのだ。
私は彼の日本語がよく出来る点を評価したい。|わたしはかれのにほんごがよくできるてんをひょうかしたい。
私はこの製品が未来を指向している点に引かれる。|わたしはこのせいひんがみらいをしこうしているてんにひかれる。
その点について何人かの人から質問を受けた。|そのてんについてなんにんかのひとからしつもんをうけた。
あの会社は技術面に問題がある。|あのかいしゃはぎじゅつめんにもんだいがある。
我々はその取引において値段の点で合意出来なかった。|々われわれはそのとりひきにおいてねだんのてんでごういできなかった。
この車は性能が優れている点を高く評価された。|このくるまはせいのうがすぐれているてんをたかくひょうかされた。
そんなに勉強しては、体をこわしますよ。|そんなにべんきょうしては、からだをこわしますよ。
こんなに寒くては外出できません。|こんなにさむくてはがいしゅつできません。
仕事がそんなに嫌いでは困りますね。|しごとがそんなにきらいではこまりますね。
そんなに遊んでいては、試験に失敗しますよ。|そんなにあそんでいては、しけんにしっぱいしますよ。
あの男が来ては邪魔になる。|あのおとこがきてはじゃまになる。
こんなに働かされては、病気になってしまうよ。|こんなにはたらかされては、びょうきになってしまうよ。
こんなに部屋が汚くては、お客さんが見えた時に恥ずかしい。|こんなにへやがきたなくては、おきゃくさんがみえたときにはずかしい。
人が皆個人主儀的では、国はやっていけない。|ひとがみなこじんしゅぎてきでは、くにはやっていけない。
こんなに忙しくては、新聞も読めない。|こんなにいそがしくては、しんぶんもよめない。
あんな女性がデートの相手では、彼は小さくなっているだろう。|あんなじょせいがデートのあいてでは、かれはちいさくなっているだろう。
幸夫は来年は家が買えると大変喜んでいる。|ゆきおはらいねんはいえがかえるとたいへんよろこんでいる。
博物館は開いているかなと、電話してみた。|はくぶつかんはあいているかなと、でんわしてみた。
テニスはしようと出かけたら、途中で雨が降ってきた。|テニスはしようとでかけたら、とちゅうであめがふってきた。
父はまだ元気なようだと安心していたが、最近急に弱ってきた。|ちちはまだげんきなようだとあんしんしていたが、さいきんきゅうによわってきた。
外国語の能力は単語から文、文から段落、そして段落から福段落と、伸びていく。|がいこくごののうりょくはたんごからぶん、ぶんからだんらく、そしてだんらくからふくだんらくと、のびていく。
友達は長い間飼っていた猫が死んでしまったと、悲しがっていた。|ともだちはながいあいだかっていたねこがしんでしまったと、かなしがっていた。
彼はがんになったかもしれないと心配している。|かれはがんになったかもしれないとしんぱいしている。
その学生はもうちょっとで百点が取れたのにと、悔しがった。|そのがくせいはもうちょっとでひゃくてんがとれたのにと、くやしがった。
彼女と会うのもこれが最後かと、寂しかったのです。|かのじょとあうのもこれがさいごかと、さびしかったのです。
変な音がしたなと、外に出てみたが、何でもなかった。|へんなおとがしたなと、そとにでてみたが、なにでもなかった。
僕は今晩は酒を飲むまいと、まっすぐ家に帰った。|ぼくはこんばんはさけをのむまいと、まっすぐいえにかえった。
年内に論文を仕上げようと、懸命に努力しているところです。|ねんないにろんぶんをしあげようと、けんめいにどりょくしているところです。
彼にお礼を言おうとやって来たのに、ほかのことばかり話して、お礼を言うのを忘れてしまった。|かれにおれいをいおうとやってきたのに、ほかのことばかりはなして、おれいをいうのをわすれてしまった。
少しは体にいいだろうと、最近は散歩をしています。|すこしはからだにいいだろうと、さいきんはさんぽをしています。
宿題を忘れたので、先生に叱られるかもしれないと、びくびくしていた。|しゅくだいをわすれたので、せんせいにしかられるかもしれないと、びくびくしていた。
日本の四季は、春は三月から五月、夏は六月から八月、秋は九月から十一月、冬は十二月から二月までと、どの季節もほぼ同じ長さになっている。|にほんのしきは、はるはさんがつからごがつ、なつはろくがつからはちがつ、あきはくがつからじゅういちがつ、ふゆはじゅうにがつからにがつまでと、どのきせつもほぼおなじながさになっている。
彼は朝は和食、昼はめん類、夜は洋食と、食事のパターンが決まっている。|かれはあさはわしょく、ひるはめんるい、よるはようしょくと、しょくじのパターンがきまっている。
社長は先月はロンドン、今月はモスクワ、来月はソウルと、出張が多い。|しゃちょうはせんげつはロンドン、こんげつはモスクワ、らいげつはソウルと、しゅっちょうがおおい。
日本語を日本で勉強するのも面白いと思って、去年の夏日本で日本語を勉強した。|にほんごをにほんでべんきょうするのもおもしろいとおもって、きょねんのなつにほんでにほんごをべんきょうした。
太郎は冬休みに海外旅行でもしようと思って、急に家の近くの旅行代理店に出かけた。|たろうはふゆやすみにかいがいりょこうでもしようとおもって、きゅうにいえのちかくのりょこうだいりてんにでかけた。
お金を払おうとして、財布がないことに気が付いた。|おかねをはらおうとして、さいふがないことにがきがついた。
社長には問題はなかったと言っておいて下さい。|しゃちょうにはもんだいはなかったといっておいてください。
この物語は今の社会を風刺しているとは考えられませんか。|このものがたりはいまのしゃかいをふうししているとはかんがえられませんか。
彼はもう我慢が出来ないという風に荒々しく立ち上がった。|かれはもうがまんができないというふうに々あらあらしくちたちあがった。
彼はどうしようもないというように首を振った。|かれはどうしようもないというようにくびをふった。
彼は大学卒業と同時に銀行に就職した。|かれはだいがくそつぎょうとどうじにぎんこうにしゅうしょくした。
部屋に入ると同時に電話がなった。|へやにはいるとどうじにでんわがなった。
彼はこの会社の社長であると同時に大株主でもある。|かれはこのかいしゃのしゃちょうであるとどうじにおおかぶぬしでもある。
彼女は結婚と同時に会社を辞めた。|かのじょはけっこんとどうじにかいしゃをやめた。
銃声と同時に警官の一人が倒れた。|じゅうせいとどうじにけいかんのひとりがたおれた。
新しい単語の学習と同時に文法の復習も忘れてはならない。|あたらしいたんごのがくしゅうとどうじにぶんぽうのふくしゅうもわすれてはならない。
私はルースと同時に日本語の勉強を始めた。|わたしはルースとどうじににほんごのべんきょうをはじめた。
電車が止まってドアが開くと同時に客がなだれ込んだ。|でんしゃがとまってドアがひらくとどうじにきゃくがなだれこんだ。
新社長は就任すると同時に社名を変更した。|しんしゃちょうはしゅうにんするとどうじにしゃめいをへんこうした。
外国語を勉強する時は、文法を理解すると同時に文型の口頭練習もしなければならない。|がいこくごをべんきょうするときは、ぶんぽうをりかいするとどうじにぶんけいのこうとうれんしゅうもしなければならない。
この新しい装置は安全であると同時に効率がいい。|このあたらしいそうちはあんぜんであるとどうじにこうりつがいい。
森鴎外は医者であると同時に小説家でもあった。|もりおうがいはいしゃであるとどうじにしょうせつかでもあった。
この設備は危険であると同時に効率が悪い。|このせつびはきけんであるとどうじにこうりつがわるい。
私には子供がいます。子供と言ってももう大学生ですが。|わたしにはこどもがいます。こどもといってももうだいがくせいですが。
ー毎日お忙しいんでしょうね。<br />ーいえ、忙しいと言っても週末は休んでいますから。|ーまいにちおいそがしいんでしょうね。<br/>ーいえ、いそがしいといってもしゅうまつはやすんでいますから。
もう三月だ、しかし、三月と言ってもこの辺はまだ寒い。|もうさんがつだ、しかし、さんがつといってもこのあたりはまださむい。
山崎先生はまだお若いですよ。もちろん、若いと言っても五十代ですが。|やまざきせんせいはまだおわかいですよ。もちろん、わかいといってもごじゅうだいですが。
仕事が見つかりました。と言ってもパートなんですが。|しごとがみつかりました。といってもパートなんですが。
ー韓国語をご存知なんでしょう？<br>ーいや、知っていると言っても二年勉強してだけですから大したことはありません。|ーかんこくごをごぞんじなんでしょう<br/>ーいや、しっているといってもにねんべんきょうしてだけですからたいしたことはありません。
ー辻村さんが手伝ってくれるそうですよ。<br />ーでも、手伝ってくれると言ってもせいぜい二、三時間でしょう。|ーつじむらさんがてつだってくれるそうですよ。<br/>ーでも、てつだってくれるといってもせいぜいに、さんじかんでしょう。
ーあの子は強いですよ。<br>ーいや、強いと言ってもたかが小学生ですよ。|ーあのこはつよいですよ。<br/>ーいや、つよいといってもたかがしょうがくせいですよ。
年をとったと言ってもビルは元プロ選手だ。私では勝てないだろう。|としをとったといってもビルはもとプロせんしゅだ。わたしではかてないだろう。
年をとってもビルは元プロ選手だ。|としをとってもビルはもとプロせんしゅだ。
彼はどうしようもないという風に首を振った。|かれはどうしようもないというふうにくびをふった。
私は河村さんは来られないという風に聞いている。|わたしはかわむらさんはこられないというふうにきいている。
浩司はうなぎ、友子はてんぷら、という風にめいめいが自分の好きなものを注文した。|ひろしはうなぎ、ともこはてんぷら、というふうにめいめいがじぶんのすきなものをちゅうもんした。
彼女はもうこれ以上聞きたくないという風に両手で耳を被った。|かのじょはもうこれいじょうききたくないというふうにりょうてでみみをおおった。
社長には、特に問題はなかったという風に言っておいて下さい。|しゃちょうには、とくにもんだいはなかったというかぜにいっておいてください。
そういうことは規則に反するから出来ないという風に説明しておけばいい。|そういうことはきそくにはんするからできないというふうにせつめいしておけばいい。
去年はボストン、今年はニューヨークという風に、この協会の大会は毎年東部の大都市で開かれている。|きょねんはボストン、ことしはニューヨークというふうに、このきょうかいのたいかいはまいねんとうぶのだいとしでひらかれている。
ジョンはケーとと、マイクはシンディーと、という風にみんながパーティーを見つけてペアになった。|ジョンはケーとと、マイクはシンディーと、というふうにみんながパーティーをみつけてペアになった。
彼がこの集まりに来ないということは考えられない。|かれがこのあつまりにこないということはかんがえられない。
