先生はジョンを叱った。|せんせいはジョンをしかった。
雨が降ればよく家で本を読んだ物だ。|あめがれふればよくいえでほんをんだよんだものだ。
日本へ行ったら日本語が上手になった。|にほんへいったらにほんごがじょうずになった。
その檻に近づけば危ないですよ。|そのおりにづちかづけばなあぶないですよ。
デザートは食べるばかりになっているいます。|デザートはたべるばかりになっているいます。
友子は遊んでばかりいる。|ともこはんであそんでばかりいる。
僕は昼ご飯を食べたばかりだ。|はぼくはひるごはんをべたたべたばかりだ。
このレストランは安いばかりです。|このレストランはいやすいばかりです。
デニスはビールばかり飲んでいる。|デニスはビールばかりんのんでいる。
私は一月ばかりパリにいました。|わたしはひとつきばかりパリにいました。
このレポートは後結論を書くばかりだ。|このレポートはあとけつろんをくかくばかりだ。
春江は泣いてばかりいて何も話そうとしない。|はるえはいないてばかりいてもなにもそはなそうとしない。
松山さんは今シカゴに着いたばかりです。|まつやまさんはいまシカゴにいついたばかりです。
この仕事は面倒なばかりであまり儲かりません。|このしごとはめんどうなばかりであまりかもうかりません。
この寮に住んでいるのは男子学生ばかりだ。|このりょうにんすんでいるのはだんしがくせいばかりだ。
フィッシャー先生はリサとばかり話している。|フィッシャーせんせいはリサとばかりしはなしている。
十人ばかりの友達が手伝ってくれました。|じゅうにんばかりのともだちがっててつだってくれました。
彼は笑うばかりで何も説明してくれない。|はかれはうわらうばかりでもなにもしせつめいしてくれない。
先生に聞けば良かった。|せんせいにけきけばかよかった。
あの本を読めば良かった。|あのほんをめよめばかよかった。
ウエルズさんは日本へ行けば良かったね。|ウエルズさんはにほんへけいけばかよかったね。
ああ、もっと英語を勉強しておけば良かったなあ。|ああ、もっとえいごをべんきょうしておけばかよかったなあ。
ビルは日本へ行けば良かったと思っている。|ビルはにほんへけいけばかよかったとっておもっている。
あの本を読んで良かった。|あのほんをんでよんでかよかった。
どこが静かだい。|どこがかしずかだい。
誰が行くんだい。|がだれがくいくんだい。
新しい仕事はどうだい。|あたらしいしごとはどうだい。
あの人は誰だい。|あのひとはだれだい。
何が可笑しいんだい。|なにがしいおかしいんだい。
どの人が佐藤先生なんだい。|どのひとがさとうせんせいなんだい。
これは僕のだい。|これはぼくのだい。
僕も行くんだい。|ぼくもくいくんだい。
誰が行く。|がだれがくいく。
どれが面白い。|どれがいおもしろい。
新しい仕事はどうだった。|あたらしいしごとはどうだった。
どこが静かだった。|どこがかしずかだった。
スミスさんだけが来ました。|スミスさんだけがまきました。
私は日本へ一度だけ行った。|わたしはにほんへいちどだけいった。
雪子さんとはデートしただけです。|ゆきこさんとはデートしただけです。
この家は大きいだけだ。|このいえはきおおきいだけだ。
このお菓子は色がきれいなだけです。|このおかしはいろがきれいなだけです。
佐藤さんだけ会議に出ました。|さとうさんだけかいぎにまでました。
小さい和英辞典だけを買いました。|さちいさいわえいじてんだけをいかいました。
僕にだけ話して下さい。|ぼくにだけしはなしてください。
僕だけに話して下さい。|ぼくだけにしはなしてください。
この車はアルコールでだけ動きます。|このくるまはアルコールでだけきうごきます。
この車はアルコールだけで動きます。|このくるまはアルコールだけできうごきます。
あの先生には一度だけ会いました。|あのせんせいにはいちどだけあいました。
朝はコーヒーを一杯飲むだけです。|あさはコーヒーをいっぱいむのむだけです。
この本は高いだけで面白くない。|このほんはいたかいだけでくおもしろくない。
テニスは好きなだけで上手じゃない。|テニスはきすきなだけでじょうずじゃない。
それは学生だけのパーティだった。|それはがくせいだけのパーティだった。
出来るだけゆっくり話して下さい。|るできるだけゆっくりしはなしてください。
魚だけを食べた。|さかなだけをべたたべた。
魚を食べただけだ。|さかなをべたたべただけだ。
食べられるだけ食べたい。|べたべられるだけべたたべたい。
踊れるだけ踊ろう。|れおどれるだけろおどろう。
あの人はよく勉強するだけでなくよく遊ぶ。|あのひとはよくべんきょうするだけでなくよくぶあそぶ。
あの人は頭がいいだけではなくよく勉強もします。|あのひとはあたまがいいだけではなくよくべんきょうもします。
このうちはきれいなだけでなくとても安い。|このうちはきれいなだけでなくとてもいやすい。
ジョンだけではなくメアリーも来ました。|ジョンだけではなくメアリーもまきました。
あの人は小説を読むだけではなく書きます。|あのひとはしょうせつをむよむだけではなくきかきます。
ブラウンさんは日本へ行っただけではなく住んだこともあります。|ブラウンさんはにほんへいっただけではなくんすんだこともあります。
このアパートは高いだけでなく大変狭いです。|このアパートはいたかいだけでなくたいへんいせまいです。
幸子は頭が良かっただけではなく、とても親切でした。|さちこはあたまがかよかっただけではなく、とてもしんせつでした。
この車はきれいなだけではなく、よく走ります。|このくるまはきれいなだけではなく、よくりはしります。
